coarse_n_segments	coarse_min_size	fine_n_segments	fine_min_size	beta	coarse_miou	fine_miou	fused_miou	coarse_acc	fine_acc	fused_acc	fused_iou_background	fused_iou_fibrin	fused_iou_granulation	fused_iou_callus
24	80	96	40	0.3	39.09830765342738	48.504944240745544	42.268896656335095	69.49684994194575	81.3545887069798	73.98487118028116	69.69437154827338	4.247506098513051	58.94267011751961	36.191038861034336
24	80	96	40	0.5	39.09830765342738	48.504944240745544	46.448412855977615	69.49684994194575	81.3545887069798	77.69991924936284	74.66257413265716	4.735547041431067	67.9257403863898	38.469789863432446
24	80	96	40	0.7	39.09830765342738	48.504944240745544	49.09093415336011	69.49684994194575	81.3545887069798	81.25488787910922	78.98427919486636	5.656959598801416	70.11000495225288	41.612492867519805
24	80	96	50	0.3	39.09830765342738	47.99516976311024	42.283596578061605	69.49684994194575	81.1371262746573	73.9752942360516	69.68104268774519	4.482945313413113	58.94267011751961	36.027728193568535
24	80	96	50	0.5	39.09830765342738	47.99516976311024	46.49520850535311	69.49684994194575	81.1371262746573	77.68886546203309	74.6491914045441	5.099201406336711	67.9257403863898	38.306700824141835
24	80	96	50	0.7	39.09830765342738	47.99516976311024	49.176486953787744	69.49684994194575	81.1371262746573	81.24940326085945	78.97901891309014	5.981722792306153	70.11000495225288	41.6352011575018
24	80	128	40	0.3	39.09830765342738	48.05326496446716	43.14093059378751	69.49684994194575	81.54696490372203	74.35333777924542	70.1444994002197	7.849568591421502	58.44577285790411	36.12388152560472
24	80	128	40	0.5	39.09830765342738	48.05326496446716	46.441763514339144	69.49684994194575	81.54696490372203	77.74467822450316	74.75901447318887	6.078496791013137	66.72476980175807	38.204772991396524
24	80	128	40	0.7	39.09830765342738	48.05326496446716	48.61110422962003	69.49684994194575	81.54696490372203	80.84019082297381	78.43583399323954	5.543361906756608	69.29770262241402	41.16751839606996
24	80	128	50	0.3	39.09830765342738	47.98671244448142	43.12294066729163	69.49684994194575	81.48567591506419	74.27137298718493	70.05126611481352	7.907330905129981	58.44577285790411	36.087392791318905
24	80	128	50	0.5	39.09830765342738	47.98671244448142	47.15196463656564	69.49684994194575	81.48567591506419	77.75186520956558	74.68902216558024	8.998878420338151	66.42597240765734	38.4939855526868
24	80	128	50	0.7	39.09830765342738	47.98671244448142	49.23843766833822	69.49684994194575	81.48567591506419	80.80889533660111	78.30962928353001	8.212956675173054	68.93761426414369	41.49355045050612
24	100	96	40	0.3	39.09830765342738	48.504944240745544	42.268896656335095	69.49684994194575	81.3545887069798	73.98487118028116	69.69437154827338	4.247506098513051	58.94267011751961	36.191038861034336
24	100	96	40	0.5	39.09830765342738	48.504944240745544	46.448412855977615	69.49684994194575	81.3545887069798	77.69991924936284	74.66257413265716	4.735547041431067	67.9257403863898	38.469789863432446
24	100	96	40	0.7	39.09830765342738	48.504944240745544	49.09093415336011	69.49684994194575	81.3545887069798	81.25488787910922	78.98427919486636	5.656959598801416	70.11000495225288	41.612492867519805
24	100	96	50	0.3	39.09830765342738	47.99516976311024	42.283596578061605	69.49684994194575	81.1371262746573	73.9752942360516	69.68104268774519	4.482945313413113	58.94267011751961	36.027728193568535
24	100	96	50	0.5	39.09830765342738	47.99516976311024	46.49520850535311	69.49684994194575	81.1371262746573	77.68886546203309	74.6491914045441	5.099201406336711	67.9257403863898	38.306700824141835
24	100	96	50	0.7	39.09830765342738	47.99516976311024	49.176486953787744	69.49684994194575	81.1371262746573	81.24940326085945	78.97901891309014	5.981722792306153	70.11000495225288	41.6352011575018
24	100	128	40	0.3	39.09830765342738	48.05326496446716	43.14093059378751	69.49684994194575	81.54696490372203	74.35333777924542	70.1444994002197	7.849568591421502	58.44577285790411	36.12388152560472
24	100	128	40	0.5	39.09830765342738	48.05326496446716	46.441763514339144	69.49684994194575	81.54696490372203	77.74467822450316	74.75901447318887	6.078496791013137	66.72476980175807	38.204772991396524
24	100	128	40	0.7	39.09830765342738	48.05326496446716	48.61110422962003	69.49684994194575	81.54696490372203	80.84019082297381	78.43583399323954	5.543361906756608	69.29770262241402	41.16751839606996
24	100	128	50	0.3	39.09830765342738	47.98671244448142	43.12294066729163	69.49684994194575	81.48567591506419	74.27137298718493	70.05126611481352	7.907330905129981	58.44577285790411	36.087392791318905
24	100	128	50	0.5	39.09830765342738	47.98671244448142	47.15196463656564	69.49684994194575	81.48567591506419	77.75186520956558	74.68902216558024	8.998878420338151	66.42597240765734	38.4939855526868
24	100	128	50	0.7	39.09830765342738	47.98671244448142	49.23843766833822	69.49684994194575	81.48567591506419	80.80889533660111	78.30962928353001	8.212956675173054	68.93761426414369	41.49355045050612
32	80	96	40	0.3	44.70147315982477	48.504944240745544	48.68049539240828	74.71447372188118	81.3545887069798	78.46572873852992	75.8997382143228	15.059867176707995	66.7671200539442	36.99525612465814
32	80	96	40	0.5	44.70147315982477	48.504944240745544	50.80945312076064	74.71447372188118	81.3545887069798	80.60791390799744	78.08742257412032	14.752169434665074	70.12582550093694	40.27239497332023
32	80	96	40	0.7	44.70147315982477	48.504944240745544	50.932372924256896	74.71447372188118	81.3545887069798	82.26418277929054	79.88847519972094	10.91353881095762	70.57297025677869	42.35450742957034
32	80	96	50	0.3	44.70147315982477	47.99516976311024	48.577197341610315	74.71447372188118	81.1371262746573	78.4450134561404	75.8997382143228	14.938351193569495	66.7671200539442	36.70357990460478
32	80	96	50	0.5	44.70147315982477	47.99516976311024	50.756963599569495	74.71447372188118	81.1371262746573	80.58498336095764	78.08742257412032	14.820934952107068	70.12582550093694	39.99367137111367
32	80	96	50	0.7	44.70147315982477	47.99516976311024	50.88030842586673	74.71447372188118	81.1371262746573	82.2301138940908	79.88518195170681	11.057908383930855	70.57297025677869	42.005173111050574
32	80	128	40	0.3	44.70147315982477	48.05326496446716	50.081205591613205	74.71447372188118	81.54696490372203	78.81192862482894	76.14067851607919	13.778907014088148	71.83340747990614	38.57182935637933
32	80	128	40	0.5	44.70147315982477	48.05326496446716	52.111641005335414	74.71447372188118	81.54696490372203	80.91716722420114	78.49551631340506	13.633504901393604	75.49979985338089	40.8177429531621
32	80	128	40	0.7	44.70147315982477	48.05326496446716	51.93995957050695	74.71447372188118	81.54696490372203	82.22749431647863	79.96169605690602	10.320577227453157	75.22552572079437	42.25203927687425
32	80	128	50	0.3	44.70147315982477	47.98671244448142	48.954458592480925	74.71447372188118	81.48567591506419	78.79798863248038	76.10905156976418	14.070998128654589	67.0445136479124	38.59327102359254
32	80	128	50	0.5	44.70147315982477	47.98671244448142	51.5277564609224	74.71447372188118	81.48567591506419	80.9641498884115	78.46938357303058	16.16571327038454	70.3959111624498	41.08001783782468
32	80	128	50	0.7	44.70147315982477	47.98671244448142	51.285971467383035	74.71447372188118	81.48567591506419	82.274476980689	79.9438741871669	12.655075200243093	70.03008446007713	42.51485202204502
32	100	96	40	0.3	44.192430088706075	48.504944240745544	48.53228467123733	74.61283638617167	81.3545887069798	78.43231372405006	75.85195153925216	15.059867176707995	66.7671200539442	36.45019991504497
